Type,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic watches at 95%,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post consumers by type - link clicks,Lifetime Post consumers by type - other clicks,Lifetime Post consumers by type - photo view,Lifetime Post Consumptions by type - link clicks,Lifetime Post Consumptions by type - other clicks,Lifetime Post Consumptions by type - photo view
Link,16531,16531,0,28522,28522,0,420,280,352,3,3,16743,9460,0,0,298,0,16,176,40,18,181,40,171,128,1,185,166,1
Link,20859,20859,0,35377,35377,0,690,464,574,12,12,19662,11061,0,0,533,0,5,275,54,5,279,54,331,161,,358,216,
Link,14282,14282,0,23228,23228,0,459,237,304,10,10,13740,8173,0,0,367,0,8,241,60,8,243,65,132,122,1,146,157,1
Photo,5541,5541,0,9200,9200,0,237,119,168,3,3,4247,2570,0,0,151,,8,135,25,8,139,26,15,53,66,15,71,82
Link,2036,2036,0,2883,2883,0,31,8,11,0,0,1120,682,0,0,25,0,2,19,7,2,20,7,2,6,,3,8,
Photo,3145,3145,0,4512,4512,0,142,92,139,1,1,2761,1661,0,0,112,,4,60,17,5,62,17,32,22,52,35,36,68
Photo,4827,4827,0,8064,8064,0,285,167,230,0,0,5681,3284,0,0,235,,4,140,33,4,144,35,60,54,75,62,72,96
Photo,1900,1900,0,2583,2583,0,94,68,88,1,1,1212,825,0,0,61,,3,27,6,4,27,6,8,6,57,11,8,69
Photo,4032,4032,0,6369,6369,0,242,161,216,6,6,3927,2338,0,0,187,,7,92,28,10,94,32,57,47,76,62,64,90
Link,18396,18396,0,32353,32353,0,726,457,569,5,5,20492,11481,0,0,580,0,6,315,48,7,315,53,317,184,,329,240,
Photo,12512,12512,0,21406,21406,0,588,400,589,3,3,14336,8114,0,0,464,,11,255,62,13,257,63,60,263,125,63,374,152
Photo,2454,2454,0,3733,3733,0,150,103,145,2,2,2239,1335,0,0,116,,4,56,9,5,56,9,22,22,66,22,32,91
Photo,4120,4120,0,6533,6533,0,272,166,249,0,0,3513,2147,0,0,176,,6,122,32,6,126,33,22,60,111,26,86,137
Photo,1890,1890,0,2745,2745,0,101,77,99,2,2,1461,904,0,0,73,,2,29,5,2,30,5,14,7,59,16,7,76
Photo,2152,2152,0,3237,3237,0,129,92,125,0,0,1795,1071,0,0,94,,1,37,11,1,38,11,13,20,70,15,26,84
Photo,3893,3893,0,5562,5562,0,186,120,184,1,1,2739,1737,0,0,153,,6,83,18,11,84,21,28,46,66,31,70,83
Photo,4487,4487,0,6373,6373,0,143,88,112,0,0,2791,1691,0,0,106,,1,57,17,2,56,18,21,17,61,23,20,69
Photo,6396,6396,0,10242,10242,0,293,146,199,1,1,6243,3418,0,0,244,,3,163,39,3,161,39,25,70,67,28,92,79
Photo,4578,4578,0,6038,6038,0,136,88,125,1,1,2322,1218,0,0,95,,4,51,16,18,50,16,9,20,65,11,32,82
Photo,4597,4597,0,6478,6478,0,155,84,117,1,1,3270,1760,0,0,119,,1,73,17,1,73,17,20,17,53,25,23,69
